ID,Year,Make,Model,Category,Colour,Price
848,2014,Mercedes-Benz,GL-Class,SUV,LightSkyBlue,52977
849,2000,Chevrolet,Cavalier,"Coupe, Sedan, Convertible",MediumVioletRed,22938
850,2020,Porsche,911,Convertible,SpringGreen,52405
851,2006,Maybach,62,Sedan,SeaGreen,25231
852,2008,Land Rover,LR3,SUV,MediumOrchid,23588
853,2008,GMC,Sierra 3500 HD Crew Cab,Pickup,Salmon,24291
854,2019,Mercedes-Benz,Metris Cargo,Van/Minivan,AliceBlue,25019
855,2005,GMC,Sierra 2500 HD Regular Cab,Pickup,Azure,25650
856,2006,Acura,RSX,Coupe,BlueViolet,24920
857,1996,Isuzu,Oasis,Van/Minivan,LavenderBlush,14535
858,2019,Mercedes-Benz,Mercedes-AMG GT,"Coupe, Sedan, Convertible",SeaGreen,45528
859,2019,BMW,X2,SUV,MistyRose,1816
860,2004,Lincoln,Navigator,SUV,Plum,31786
861,2001,Ford,Focus,"Sedan, Hatchback, Wagon",DarkOliveGreen,23577
862,1993,Ford,F250 Super Cab,Pickup,LightSkyBlue,14513
863,2012,BMW,X6,SUV,Wheat,24525
864,2014,Mercedes-Benz,Sprinter 2500 Passenger,Van/Minivan,Sienna,35686
865,2016,Chevrolet,Silverado 2500 HD Regular Cab,Pickup,Violet,7336
866,2005,Honda,Insight,Hatchback,DarkSalmon,38466
867,1996,Oldsmobile,Bravada,SUV,Sienna,47657
868,2019,Maserati,Levante,SUV,DarkGreen,6424
869,1993,Mercedes-Benz,500 SL,Convertible,AliceBlue,3225
870,2016,Volkswagen,Golf GTI,Hatchback,Black,57437
871,2010,Bentley,Continental,"Convertible, Sedan, Coupe",PeachPuff,18649
872,2006,Nissan,Xterra,SUV,Thistle,58588
873,2008,Volkswagen,GLI,Sedan,Turquoise,56611
874,2008,Lexus,ES,Sedan,SaddleBrown,27640
875,2014,Chevrolet,Silverado 1500 Crew Cab,Pickup,Gray,13478
876,2012,INFINITI,M,Sedan,MediumSlateBlue,14799
877,1998,Toyota,RAV4,SUV,DarkOrange,17678
878,2013,Lexus,RX,SUV,Aquamarine,12188
879,1998,Honda,Prelude,Coupe,NavajoWhite,9073
880,2004,Cadillac,Seville,Sedan,LightCyan,10832
881,2005,Pontiac,Montana,Van/Minivan,SkyBlue,41947
882,2007,Saab,5-Sep,"Sedan, Wagon",OldLace,35075
883,2016,Ram,1500 Crew Cab,Pickup,ForestGreen,21368
884,2014,Chevrolet,Spark EV,Hatchback,WhiteSmoke,1703
885,2008,Saab,9-7X,SUV,DarkSlateGray,53525
886,2010,Chevrolet,Tahoe,SUV,IndianRed,6247
887,1998,BMW,7 Series,Sedan,Chocolate,36789
888,1995,Nissan,Pathfinder,SUV,LightGoldenRodYellow,19646
889,2005,Toyota,Corolla,Sedan,LightSkyBlue,10522
890,2002,Chrysler,Prowler,Convertible,BlanchedAlmond,16126
891,2011,Chevrolet,Suburban 2500,SUV,Linen,20308
892,1992,Chevrolet,Suburban 1500,SUV,BlanchedAlmond,50831
893,2020,Toyota,Avalon Hybrid,Sedan,DarkCyan,33666
894,1996,GMC,Safari Passenger,Van/Minivan,LightGoldenRodYellow,28251
895,1995,Chevrolet,Lumina Cargo,Van/Minivan,Crimson,25416
896,1999,Chevrolet,Silverado 1500 Extended Cab,Pickup,DarkCyan,32482
897,2006,Volvo,C70,Convertible,PaleTurquoise,35739
898,2020,Mercedes-Benz,GLS,SUV,SeaShell,55145
899,2007,Nissan,Titan King Cab,Pickup,Violet,23488
900,2012,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,Green,44513
901,2003,Chevrolet,Silverado 2500 Regular Cab,Pickup,MintCream,19141
902,2014,Aston Martin,Rapide S,Sedan,LightSalmon,30729
903,1994,INFINITI,Q,Sedan,MediumTurquoise,29654
904,2012,Chevrolet,Express 1500 Cargo,Van/Minivan,Cyan,41746
905,2012,MINI,Roadster,Convertible,LightSeaGreen,42345
906,1998,Nissan,Sentra,Sedan,WhiteSmoke,5347
907,1998,Plymouth,Voyager,Van/Minivan,IndianRed,50424
908,2003,GMC,Yukon XL 1500,SUV,PaleTurquoise,52800
909,2002,Jaguar,S-Type,Sedan,DarkViolet,56181
910,2013,BMW,3 Series,"Convertible, Sedan, Coupe",Orchid,6651
911,1999,Lexus,RX,SUV,PeachPuff,43332
912,2018,FIAT,500X,SUV,GreenYellow,19541
913,2006,Dodge,Caravan Passenger,Van/Minivan,DarkGray,19122
914,2019,Acura,MDX Sport Hybrid,SUV,DodgerBlue,25036
915,1999,Ford,F350 Super Duty Regular Cab,Pickup,LightCoral,59346
916,2014,Acura,MDX,SUV,LightGray,1738
917,2010,GMC,Canyon Regular Cab,Pickup,BlueViolet,6290
918,2003,Lincoln,Town Car,Sedan,OldLace,56479
919,2017,Lincoln,MKZ,Sedan,SandyBrown,22169
920,1992,Dodge,Stealth,Hatchback,DarkBlue,46047
921,2007,Audi,S8,Sedan,WhiteSmoke,9977
922,1993,Nissan,Quest,Van/Minivan,RosyBrown,37924
923,2006,Chevrolet,Silverado 1500 HD Crew Cab,Pickup,MediumBlue,24945
924,2001,Nissan,Altima,Sedan,Gray,42821
925,1996,GMC,3500 Crew Cab,Pickup,DarkTurquoise,52461
926,2015,Ford,Transit Connect Passenger,Van/Minivan,SlateBlue,15424
927,2007,Chevrolet,Aveo,"Sedan, Hatchback",LightYellow,55827
928,2014,Mercedes-Benz,GLK-Class,SUV,RoyalBlue,44382
929,2005,Ford,Explorer,SUV,Linen,7685
930,2004,GMC,Envoy XL,SUV,DarkRed,21710
931,2020,Land Rover,Range Rover Sport,SUV,LightSkyBlue,45353
932,2005,Chrysler,Crossfire,"Coupe, Convertible",MediumTurquoise,56314
933,2015,Porsche,Cayman,Coupe,Tomato,58474
934,2005,Nissan,Titan Crew Cab,Pickup,DarkGoldenRod,25405
935,1992,Saab,9000,"Sedan, Hatchback",LightSalmon,52260
936,2004,GMC,Sierra 2500 Crew Cab,Pickup,DarkGray,18511
937,2018,Audi,RS 7,Sedan,MediumTurquoise,48490
938,2019,Hyundai,NEXO,SUV,Sienna,50850
939,2006,Chevrolet,Corvette,"Coupe, Convertible",Orchid,20360
940,1996,Pontiac,Grand Am,"Sedan, Coupe",MediumSpringGreen,56548
941,2007,Buick,LaCrosse,Sedan,HoneyDew,49415
942,2018,BMW,3 Series,"Sedan, Wagon",BurlyWood,41581
943,2009,Kia,Amanti,Sedan,LightGoldenRodYellow,25833
944,2013,BMW,3 Series,"Convertible, Sedan, Coupe",Gold,7965
945,2020,Mercedes-Benz,CLA,Sedan,DarkViolet,51102
946,2010,Chevrolet,Express 3500 Passenger,Van/Minivan,PaleGoldenRod,10817
947,1995,Lexus,GS,Sedan,LightPink,49941
948,2012,Cadillac,Escalade EXT,Pickup,SlateBlue,39077
949,2018,Ferrari,488 GTB,Coupe,Gold,15357
950,1994,Mercury,Sable,"Wagon, Sedan",MediumTurquoise,17210
951,1995,Plymouth,Acclaim,Sedan,Maroon,19224
952,2002,Chrysler,Sebring,"Sedan, Convertible, Coupe",PowderBlue,5522
953,2012,Mercedes-Benz,GL-Class,SUV,SteelBlue,35311
954,1995,Suzuki,Esteem,Sedan,SkyBlue,39898
955,2009,Kia,Rio,"Sedan, Hatchback",Blue,16813
956,2000,Volvo,S80,Sedan,Black,1711
957,1993,Volvo,960,"Sedan, Wagon",Lime,52420
958,2008,Aston Martin,DBS,Coupe,Turquoise,39676
959,2001,Pontiac,Aztek,SUV,DimGray,28310
960,2009,Audi,S4,Convertible,MediumTurquoise,1051
961,2015,Hyundai,Elantra,Sedan,CornflowerBlue,24763
962,1996,Toyota,Celica,"Hatchback, Convertible, Coupe",DarkCyan,27037
963,1994,GMC,Vandura 3500,Van/Minivan,DarkOliveGreen,13814
964,1994,Oldsmobile,Silhouette,Van/Minivan,Green,39893
965,2000,GMC,Sierra (Classic) 3500 Extended Cab,Pickup,AntiqueWhite,20849
966,2015,Nissan,Murano,SUV,AliceBlue,43459
967,2011,Lexus,ES,Sedan,DarkGoldenRod,30841
968,2008,Scion,xD,Hatchback,PaleVioletRed,29545
969,2008,Chevrolet,Suburban 1500,SUV,MediumSlateBlue,8869
970,2010,Mercedes-Benz,S-Class,Sedan,RosyBrown,47368
971,1993,Toyota,Previa,Van/Minivan,White,29182
972,2013,Mercedes-Benz,SLK-Class,Convertible,Maroon,29248
973,2011,Audi,A4,"Sedan, Wagon",PaleGreen,56022
974,2015,BMW,X3,SUV,Chocolate,46672
975,2016,Mercedes-Benz,SLK,Convertible,DarkGray,51097
976,1997,Mitsubishi,Eclipse,"Coupe, Convertible",DarkRed,54726
977,1993,GMC,3500 Regular Cab,Pickup,SlateBlue,8503
978,2015,Lexus,CT,Hatchback,DarkSalmon,19122
979,2011,Maybach,57,Sedan,PaleGreen,55589
980,2016,Mercedes-Benz,Mercedes-AMG GT,Coupe,DarkGray,21395
981,2013,Chevrolet,Spark,Hatchback,SeaGreen,6691
982,2002,Volkswagen,Jetta,"Sedan, Wagon",OldLace,55995
983,1997,Dodge,Avenger,Coupe,MistyRose,20138
984,2011,Acura,TSX,"Sedan, Wagon",Plum,47451
985,2001,BMW,Z8,Convertible,Chocolate,20774
986,2013,Mercedes-Benz,Sprinter 3500 Cargo,Van/Minivan,Turquoise,35861
987,2018,Ferrari,488 Spider,Convertible,LawnGreen,7354
988,2000,Chevrolet,Malibu,Sedan,Maroon,43993
989,2002,Chevrolet,Astro Cargo,Van/Minivan,Orchid,48527
990,2013,Nissan,LEAF,Hatchback,DarkCyan,57186
991,2002,Chevrolet,TrailBlazer,SUV,LightCyan,49022
992,2006,BMW,M5,Sedan,IndianRed,6390
993,2008,Dodge,Ram 3500 Regular Cab,Pickup,Coral,15921
994,1994,GMC,1500 Club Coupe,Pickup,Olive,2120
995,1998,Mercury,Sable,"Wagon, Sedan",WhiteSmoke,21911
996,2002,Kia,Sedona,Van/Minivan,ForestGreen,55638
997,2005,Pontiac,Grand Am,"Sedan, Coupe",DarkViolet,52427
998,1993,MAZDA,Protege,Sedan,SeaGreen,9432
999,2020,BMW,X7,SUV,DeepSkyBlue,47334
1000,2001,Chevrolet,Express 3500 Passenger,Van/Minivan,LimeGreen,16359
1001,2002,Jeep,Grand Cherokee,SUV,Gold,50508
1002,1994,Chevrolet,Camaro,"Convertible, Hatchback",SteelBlue,13697
1003,1993,Dodge,Ram Wagon B350,Van/Minivan,Purple,28389
1004,2017,MAZDA,MAZDA3,"Hatchback, Sedan",Tomato,53036
1005,2015,Honda,CR-Z,Coupe,Chartreuse,16931
1006,2007,GMC,Sierra 3500 HD Extended Cab,Pickup,Beige,59329
1007,2016,Mercedes-Benz,Mercedes-AMG GLE,SUV,MediumTurquoise,55098
1008,2010,Ford,F350 Super Duty Regular Cab,Pickup,Linen,50366
1009,2014,GMC,Savana 3500 Cargo,Van/Minivan,Red,28815
1010,2015,Volkswagen,Passat,Sedan,SaddleBrown,4762
1011,2003,Ford,Taurus,"Sedan, Wagon",LightCyan,54822
1012,1998,Mitsubishi,Mirage,"Sedan, Coupe",BurlyWood,47806
1013,2013,Toyota,Corolla,Sedan,HotPink,5728
1014,2000,Chevrolet,Astro Passenger,Van/Minivan,NavajoWhite,3537
1015,2004,GMC,Canyon Extended Cab,Pickup,Olive,1342
1016,2009,Ford,F250 Super Duty Crew Cab,Pickup,Snow,45273
1017,1997,Subaru,Legacy,"Sedan, Wagon",Tomato,33702
1018,1999,Isuzu,Amigo,SUV,BlanchedAlmond,41105
1019,2020,Honda,HR-V,SUV,SaddleBrown,15773
1020,2011,Mercedes-Benz,G-Class,SUV,LightPink,6536
1021,1998,Toyota,RAV4,SUV,SaddleBrown,24275
1022,2003,Chevrolet,Silverado 2500 Extended Cab,Pickup,LemonChiffon,14466
1023,1992,Chevrolet,2500 Regular Cab,Pickup,Yellow,37121
1024,1997,Nissan,Sentra,Sedan,PowderBlue,41078
1025,2008,Lexus,RX,SUV,HotPink,31236
1026,1993,Dodge,Ram Van B250,Van/Minivan,White,31491
1027,2009,Toyota,RAV4,SUV,PowderBlue,31789
1028,2014,BMW,i8,Coupe,Thistle,6024
1029,2012,Audi,Q7,SUV,MintCream,26756
1030,1997,Ford,F250 Crew Cab,Pickup,DarkMagenta,48331
1031,1993,Suzuki,Samurai,SUV,LightCoral,41953
1032,1997,Honda,Odyssey,Van/Minivan,Azure,54511
1033,2007,Chevrolet,TrailBlazer,SUV,LightSlateGray,42295
1034,1997,Volvo,850,"Sedan, Wagon",Purple,50519
1035,2000,Ford,Explorer,SUV,Tan,11121
1036,2009,Nissan,Frontier Crew Cab,Pickup,SlateBlue,22356
1037,2010,Suzuki,SX4,"Sedan, Hatchback",Chocolate,45748
1038,2004,Volvo,S80,Sedan,GhostWhite,46710
1039,2000,MAZDA,626,Sedan,LightYellow,19604
1040,2011,Ford,Explorer,SUV,LightPink,45686
1041,2000,Toyota,Tacoma Xtracab,Pickup,DarkOrange,22041
1042,2006,Toyota,Solara,"Coupe, Convertible",Blue,8032
1043,2005,Chevrolet,Astro Cargo,Van/Minivan,CadetBlue,28550
1044,2000,GMC,Sierra (Classic) 3500 Crew Cab,Pickup,Lime,24125
1045,2013,Ford,F150 Super Cab,Pickup,SteelBlue,24715
1046,2012,Chevrolet,Silverado 3500 HD Extended Cab,Pickup,DodgerBlue,30072
1047,2013,smart,fortwo,"Hatchback, Convertible",DeepSkyBlue,58357
1048,2014,Jeep,Wrangler,SUV,MediumVioletRed,15046
1049,2004,GMC,Sierra 1500 Extended Cab,Pickup,LimeGreen,47706
1050,2017,Audi,A8,Sedan,PaleTurquoise,17153
1051,2016,Honda,CR-Z,Coupe,MintCream,47705
1052,1998,Subaru,Impreza,"Sedan, Wagon, Coupe",Crimson,50519
1053,2007,Chevrolet,Suburban 2500,SUV,MediumVioletRed,1309
1054,1996,Mercury,Grand Marquis,Sedan,Blue,40108
1055,2003,Dodge,Intrepid,Sedan,DarkSeaGreen,33613
1056,2016,Tesla,Model X,SUV,Gray,31437
1057,2016,Rolls-Royce,Dawn,Convertible,MediumBlue,39109
1058,2000,Ford,Explorer,SUV,NavajoWhite,46057
1059,2014,Nissan,NV3500 HD Passenger,Van/Minivan,Bisque,13159
1060,2014,Toyota,Tundra Double Cab,Pickup,OldLace,52784
1061,2008,Aston Martin,DBS,Coupe,LavenderBlush,5163
1062,2017,Mercedes-Benz,Mercedes-AMG C-Class,"Convertible, Sedan, Coupe",DarkGreen,43381
1063,2001,Chrysler,Concorde,Sedan,Fuchsia,49093
1064,1992,Geo,Prizm,Sedan,DodgerBlue,41311
1065,2004,Ford,Explorer Sport Trac,Pickup,Navy,11233
1066,2007,GMC,Sierra (Classic) 2500 HD Regular Cab,Pickup,Teal,24514
1067,1998,Ford,F250 Regular Cab,Pickup,MediumSeaGreen,29506
1068,2006,Chrysler,Town & Country,Van/Minivan,PapayaWhip,21533
1069,1995,Ford,Windstar Cargo,Van/Minivan,Lavender,42428
1070,1992,GMC,Vandura 2500,Van/Minivan,SteelBlue,16523
1071,1998,Chevrolet,Tahoe,SUV,DarkTurquoise,50316
1072,2006,Cadillac,SRX,SUV,MediumBlue,31270
1073,2011,Acura,MDX,SUV,Fuchsia,28272
1074,1997,Volvo,850,"Sedan, Wagon",Green,57814
1075,2014,Chevrolet,Spark,Hatchback,MediumTurquoise,48893
1076,2016,Cadillac,ATS-V,"Sedan, Coupe",LawnGreen,54266
1077,2005,Volvo,XC70,Wagon,HotPink,30532
1078,2009,Chevrolet,Express 2500 Passenger,Van/Minivan,DarkOrange,27432
1079,2016,MAZDA,MX-5 Miata,Convertible,FireBrick,37361
1080,2001,BMW,X5,SUV,AliceBlue,47069
1081,2017,BMW,X5 M,SUV,Maroon,53872
1082,1992,MAZDA,929,Sedan,LawnGreen,59567
1083,2015,Lexus,LS,Sedan,MediumBlue,15162
1084,2000,Dodge,Ram 3500 Regular Cab,Pickup,Khaki,1247
1085,2001,BMW,Z3,"Convertible, Hatchback",Magenta,14130
1086,2001,Volkswagen,Passat (New),"Sedan, Wagon",Moccasin,55893
1087,1994,Hyundai,Elantra,Sedan,LightGreen,57593
1088,1995,Porsche,968,"Coupe, Convertible",Indigo,46647
1089,2015,Chevrolet,Silverado 1500 Regular Cab,Pickup,DarkGreen,37957
1090,2016,Ram,2500 Mega Cab,Pickup,MistyRose,30817
1091,1995,Cadillac,Seville,Sedan,Gold,27762
1092,2016,Dodge,Grand Caravan Passenger,Van/Minivan,GoldenRod,47298
1093,1998,MAZDA,MPV,Van/Minivan,Linen,24492
1094,2003,Chevrolet,Express 3500 Cargo,Van/Minivan,PowderBlue,57914
1095,2003,Ford,F150 Super Cab,Pickup,LemonChiffon,59341
1096,2008,Chevrolet,Silverado 2500 HD Extended Cab,Pickup,Teal,25362
1097,2002,Ford,Expedition,SUV,LightYellow,49384
1098,2010,Chevrolet,Traverse,SUV,PaleVioletRed,23109
1099,2018,Volkswagen,Beetle,"Hatchback, Convertible",MediumSlateBlue,11496
1100,2003,INFINITI,I,Sedan,DodgerBlue,31887
1101,2018,GMC,Yukon,SUV,Red,44684
1102,1993,MAZDA,MX-5 Miata,Convertible,SlateGray,19109
1103,2014,Honda,CR-V,SUV,GoldenRod,42425
1104,2000,Dodge,Viper,"Convertible, Coupe",Beige,14445
1105,2014,Chevrolet,Silverado 2500 HD Regular Cab,Pickup,Aquamarine,52055
1106,1998,Chevrolet,Monte Carlo,Coupe,GhostWhite,11582
1107,2001,Pontiac,Bonneville,Sedan,MediumTurquoise,18612
1108,2012,MINI,Convertible,Convertible,DarkGoldenRod,57256
1109,2018,Rolls-Royce,Wraith,Coupe,LightSeaGreen,4999
1110,2019,Ram,1500 Quad Cab,Pickup,LightGreen,42289
1111,1995,Dodge,Stealth,Hatchback,LawnGreen,44425
1112,2018,Mercedes-Benz,Mercedes-AMG GLC,SUV,Coral,4702
1113,1992,Hyundai,Scoupe,Coupe,MediumSlateBlue,47051
1114,2020,Porsche,Cayenne,SUV,DarkOrange,42247
1115,2019,Honda,Pilot,SUV,LightBlue,10327
1116,2007,Dodge,Caravan Passenger,Van/Minivan,DarkBlue,12206
1117,2013,Nissan,370Z,"Coupe, Convertible",BlueViolet,43600
1118,1999,MAZDA,Protege,Sedan,LightPink,15801
1119,2004,Dodge,Intrepid,Sedan,PapayaWhip,48898
1120,2011,BMW,X5 M,SUV,Maroon,16095
1121,2001,Toyota,Tundra Access Cab,Pickup,Aquamarine,14655
1122,2017,Mercedes-Benz,GLC,SUV,MediumSlateBlue,4571
1123,2011,Chevrolet,Express 2500 Cargo,Van/Minivan,SteelBlue,35927
1124,2017,Lexus,CT,Hatchback,LightSteelBlue,11529
1125,2004,Chevrolet,S10 Crew Cab,Pickup,DarkGray,23019
1126,1994,Volvo,850,"Wagon, Sedan",Pink,45617
1127,2002,Ford,Taurus,"Sedan, Wagon",DarkSlateBlue,53052
1128,2015,Audi,Q3,SUV,Plum,3966
1129,2017,BMW,X4,SUV,DarkCyan,28190
1130,2018,Freightliner,Sprinter 3500 Cargo,Van/Minivan,Aqua,56104
1131,1996,Chevrolet,3500 Crew Cab,Pickup,MediumAquaMarine,45592
1132,1995,Cadillac,Eldorado,Coupe,LightSkyBlue,39635
1133,2020,Chevrolet,Corvette,"Coupe, Convertible",Gainsboro,1617
1134,1998,Hyundai,Elantra,"Sedan, Wagon",MintCream,37637
1135,2015,Audi,RS 5,"Coupe, Convertible",SlateGray,59276
1136,2016,Mitsubishi,i-MiEV,Hatchback,Teal,39737
1137,2016,Land Rover,Range Rover Evoque,SUV,Salmon,16799
1138,1995,Geo,Metro,"Hatchback, Sedan",LightGreen,44417
1139,2010,Chevrolet,Silverado 1500 Crew Cab,Pickup,Salmon,33124
1140,2020,Lexus,ES,Sedan,Orange,44297
1141,2014,GMC,Acadia,SUV,FireBrick,54112
1142,1994,Ford,Bronco,SUV,LightCoral,40653
1143,2008,Toyota,Sienna,Van/Minivan,PaleGreen,54407
1144,1993,Ford,Mustang,"Coupe, Convertible",YellowGreen,42560
1145,2010,Toyota,Tundra CrewMax,Pickup,Silver,20068
1146,2013,Subaru,Legacy,Sedan,Snow,26590
1147,1996,BMW,Z3,Convertible,Tan,13170
1148,2016,GMC,Acadia,SUV,Sienna,36706
1149,2004,Suzuki,Verona,Sedan,Aquamarine,52146
1150,2004,Jeep,Liberty,SUV,DarkOrchid,31419
1151,2001,Pontiac,Montana,Van/Minivan,Tan,50771
1152,2016,Dodge,Viper,Coupe,Olive,54637
1153,2010,Nissan,cube,Wagon,LightGoldenRodYellow,58932
1154,2013,Dodge,Durango,SUV,LightSalmon,44344
1155,2003,Subaru,Impreza,"Wagon, Sedan",DeepSkyBlue,5394
1156,1994,Chevrolet,Lumina Cargo,Van/Minivan,Violet,22312
1157,1995,GMC,Rally Wagon G3500,Van/Minivan,Orchid,56604
1158,1999,Ford,F250 Super Duty Super Cab,Pickup,FireBrick,28396
1159,2004,Volkswagen,R32,Hatchback,LightGreen,13989
1160,1993,Toyota,Regular Cab,Pickup,MediumSlateBlue,49266
1161,2000,Ford,Ranger Super Cab,Pickup,ForestGreen,38008
1162,2004,Ford,Escape,SUV,GreenYellow,15638
1163,2018,Toyota,Corolla iM,Hatchback,DarkCyan,29667
1164,2017,Buick,LaCrosse,Sedan,IndianRed,19153
1165,2001,Mercury,Cougar,Coupe,PaleGreen,31676
1166,2017,Kia,K900,Sedan,Silver,51011
1167,2012,Jaguar,XJ,Sedan,LightSkyBlue,46221
1168,2004,Porsche,Boxster,Convertible,DarkOrange,1492
1169,2006,Cadillac,Escalade,SUV,ForestGreen,17989
1170,1995,Mercedes-Benz,C-Class,Sedan,Linen,11915
1171,2009,Toyota,4Runner,SUV,HotPink,36841
1172,2006,Mitsubishi,Endeavor,SUV,LemonChiffon,21531
1173,1995,Oldsmobile,98,Sedan,DeepSkyBlue,3687
1174,2012,Chevrolet,Silverado 1500 Regular Cab,Pickup,DarkGreen,56053
1175,1994,Toyota,Xtra Cab,Pickup,LightSkyBlue,19405
1176,2001,HUMMER,H1,"Wagon, SUV",OliveDrab,28273
1177,2013,Ford,E350 Super Duty Passenger,Van/Minivan,MintCream,19393
1178,2019,Mercedes-Benz,Mercedes-AMG CLS,Sedan,DarkMagenta,53261
1179,1996,Isuzu,Hombre Regular Cab,Pickup,MintCream,40485
1180,2018,Mitsubishi,Mirage G4,Sedan,SkyBlue,51491
1181,1998,Mercedes-Benz,SLK-Class,Convertible,Navy,16056
1182,2009,Hyundai,Elantra,"Sedan, Wagon",Plum,45958
1183,2004,Jaguar,XJ,Sedan,GoldenRod,40813
1184,2018,Toyota,Sequoia,SUV,PapayaWhip,37923
1185,2012,MINI,Convertible,Convertible,Cornsilk,17570
1186,1993,Audi,100,"Sedan, Wagon",WhiteSmoke,15931
1187,2006,Scion,xB,Hatchback,DarkSlateBlue,42888
1188,2005,GMC,Savana 3500 Cargo,Van/Minivan,MediumSpringGreen,3430
1189,2000,BMW,5 Series,"Sedan, Wagon",Silver,28933
1190,2015,Nissan,NV200 Taxi,Van/Minivan,Moccasin,59519
1191,2008,Acura,TL,Sedan,OrangeRed,46926
1192,2005,Chrysler,Pacifica,Wagon,Silver,14147
1193,2015,Chevrolet,Silverado 2500 HD Crew Cab,Pickup,Cornsilk,18866
1194,2020,Honda,Passport,SUV,DarkRed,42767
1195,2010,Lotus,Evora,Coupe,Teal,47407
1196,2012,Honda,CR-Z,Coupe,PaleGreen,46442
1197,1997,Ford,Expedition,SUV,GhostWhite,17490
1198,1993,GMC,2500 Regular Cab,Pickup,Gainsboro,10993
1199,2002,Porsche,Boxster,Convertible,SkyBlue,37662
1200,2009,Kia,Sportage,SUV,RosyBrown,15521
1201,2012,GMC,Savana 1500 Cargo,Van/Minivan,MintCream,40812
1202,2017,Buick,LaCrosse,Sedan,DarkGoldenRod,47968
1203,2002,Lexus,ES,Sedan,YellowGreen,30592
1204,2000,Dodge,Ram Wagon 1500,Van/Minivan,GreenYellow,17145
1205,2020,Jeep,Wrangler,SUV,FireBrick,9910
1206,2008,Subaru,Tribeca,SUV,SlateBlue,47882
1207,1998,GMC,Savana 3500 Cargo,Van/Minivan,Sienna,11324
1208,2006,Dodge,Stratus,Sedan,BurlyWood,44547
1209,2003,Cadillac,DeVille,Sedan,Plum,28945
1210,1992,Volkswagen,Corrado,Coupe,LightSeaGreen,17049
1211,2008,Ford,Explorer,SUV,DarkBlue,51344
1212,2015,Subaru,WRX,Sedan,Navy,1772
1213,2017,Aston Martin,Vantage,"Convertible, Coupe",Silver,18034
1214,2015,Freightliner,Sprinter 3500 Cargo,Van/Minivan,LightCyan,21543
1215,2020,Subaru,Forester,SUV,Thistle,39635
1216,2012,Ford,Flex,SUV,MistyRose,34818
1217,2017,Volkswagen,CC,Sedan,LightSteelBlue,48056
1218,1998,Chevrolet,2500 Regular Cab,Pickup,DarkKhaki,50996
1219,2007,Saturn,Outlook,SUV,SkyBlue,27766
1220,1997,Hyundai,Elantra,"Wagon, Sedan",IndianRed,52813
1221,2016,Chrysler,300,Sedan,MediumVioletRed,58403
1222,2019,Mercedes-Benz,Mercedes-AMG C-Class,"Sedan, Convertible, Coupe",RoyalBlue,18463
1223,2019,Nissan,Rogue,SUV,MediumTurquoise,47243
1224,2010,Chrysler,Sebring,"Sedan, Convertible",DarkKhaki,47793
1225,1999,Honda,Accord,"Coupe, Sedan",Bisque,38620
1226,2003,Pontiac,Aztek,SUV,Blue,25757
1227,2014,Mercedes-Benz,SLS-Class,"Coupe, Convertible",Black,24774
1228,2015,BMW,3 Series,"Sedan, Wagon",MediumSeaGreen,8910
1229,2003,Hyundai,Elantra,"Sedan, Hatchback",SpringGreen,55194
1230,1994,Plymouth,Voyager,Van/Minivan,PapayaWhip,51511
1231,2007,Hyundai,Entourage,Van/Minivan,Thistle,50561
1232,2005,Ford,Thunderbird,Convertible,Black,1857
1233,2004,Volkswagen,Jetta,"Wagon, Sedan",Gold,36025
1234,2014,Ram,3500 Mega Cab,Pickup,DarkGreen,14082
1235,2004,Ford,F250 Super Duty Super Cab,Pickup,DarkSlateBlue,38213
1236,1999,Chevrolet,Express 3500 Cargo,Van/Minivan,GreenYellow,18916
1237,2010,Acura,MDX,SUV,MediumAquaMarine,6480
1238,2009,Toyota,Tundra Regular Cab,Pickup,LightSalmon,23652
1239,2014,Audi,RS 7,Sedan,SkyBlue,57536
1240,2002,Dodge,Ram 3500 Regular Cab,Pickup,DarkSlateGray,38655
1241,2000,Kia,Sephia,Sedan,Sienna,27039
1242,2013,GMC,Savana 3500 Passenger,Van/Minivan,Lavender,44000
1243,1995,Toyota,Tacoma Xtracab,Pickup,MediumPurple,3771
1244,2015,Chevrolet,Silverado 3500 HD Crew Cab,Pickup,Blue,46573
1245,2009,Maserati,GranTurismo,Coupe,DeepSkyBlue,44921
1246,2002,Jeep,Grand Cherokee,SUV,DarkOrchid,27682
1247,2012,Lexus,CT,Hatchback,Silver,17444
1248,2017,Nissan,Sentra,Sedan,Orchid,45837
1249,2007,Acura,MDX,SUV,SpringGreen,42076
1250,2018,Ford,F350 Super Duty Regular Cab,Pickup,LightSeaGreen,39783
1251,2003,Chevrolet,S10 Regular Cab,Pickup,CornflowerBlue,58415
1252,1992,Pontiac,Bonneville,Sedan,MediumVioletRed,31843
1253,2009,Dodge,Dakota Crew Cab,Pickup,LavenderBlush,22007
1254,2006,Mercedes-Benz,SLK-Class,Convertible,Beige,9706
1255,2019,Chevrolet,Silverado 1500 Double Cab,Pickup,DarkRed,16814
1256,2004,Chevrolet,Silverado 3500 Extended Cab,Pickup,DarkSlateBlue,10891
1257,1993,Mitsubishi,Mighty Max Regular Cab,Pickup,LightPink,47762
1258,2012,Volkswagen,CC,Sedan,PaleVioletRed,3829
